id	filename	md5	size	state
37afb5db-f1df-46e4-b680-47e0231e0b1a	TCGA-IB-AAUW-01A-01-TS1.96C3AAEE-E616-4F77-A502-EF73E3606381.svs	7f2258a66b87c6c62e0747a1ca6bd5c1	223108155	validated
388da34b-1c39-4572-8e31-6f7df8422a2f	TCGA-CV-7406-11A-01-TS1.5d264754-0b2c-477e-a9da-21c8be156969.svs	fc49c7f3f649a62fda08d3f0564dabde	951454	validated
3974ab5d-6576-4a73-9058-041d2b5fb06b	TCGA-IB-AAUW.64606B7A-008D-459F-8E32-296016364BB1.PDF	484fdae89ec01274c1c9fd791e79681a	280610	validated
399c6a5a-ad0d-4cab-9d7e-130d8622fbdb	TCGA-FG-8187-01Z-00-DX2.e9ba4a17-f5b7-4786-b4f3-29e0d79b5985.svs	71846014b57de35242f7e6f9fc8ca716	902050859	validated
3a4a0bdd-b0e8-4020-bc8c-3222e3b5359b	TCGA-HZ-7918-01Z-00-DX1.2503fea5-bd82-43ca-be7d-ee24968c7026.svs	4262acd6dfd2f93809b07eeb337aea77	164715413	validated
3eda8417-5b10-4d1f-b213-e22cd27e50f1	TCGA-AA-3562-01A-02-BS2.545d3c6e-ca91-4f6a-9011-0bdbd41ef0cb.svs	4c595f3cc5b5566aff446a1533fe6e9c	62204199	validated
3f2ead8a-2220-468c-ac62-904118021e09	TCGA-CX-7082.872BE720-140A-4152-84CE-184D1A2CDFE7.PDF	175353794b54154f0aee251e09b3a504	215407	validated
41cffed9-7e85-4592-86df-bf0d57f69031	TCGA-06-0209.93A70661-A507-4B57-BEE6-B9BF201F31C6.PDF	f081bddcd0c6cb1e27b4ed92b54eac48	50077	validated
42422aa6-f1db-42d9-a7ca-66f63ae580b9	TCGA-27-2523-01Z-00-DX1.5DD91AEC-7050-4DDC-8B59-57006E7B9006.svs	0c0b987ee7320ef7c1549add9cb96b94	1483253167	validated
42cebbcc-b691-481e-bc2a-b27851ea32d4	TCGA-AG-3612-01A-01-TS1.015a2e1d-cbb4-4ec9-9642-f679cde463ca.svs	a40059988dd9e64da2102ac2db01ffa2	79214329	validated
4456d133-7607-49d9-a263-a19d5b347f01	TCGA-60-2712.DC936761-8BC0-4F4D-BA51-D6C9C0009C3B.PDF	6d7adefde8c7d92e23a960ffb9835b88	190637	validated
44c98d26-f364-46d3-aca4-7a2ce0d14629	TCGA-27-2523-01A-01-BS1.8ff201bf-39bd-4cdb-851f-8d799bdf8a17.svs	aadfbe5cb1ee46c8bbeb3042c4d5d0c0	52249085	validated
48999bf8-348a-4cc5-9564-d46e8484fe5b	TCGA-BP-4760-01Z-00-DX1.0a49c368-739d-42f8-a1cc-5a35ee70a810.svs	3b55d86b2b69269c817212693ba17310	939227180	validated
48fcefe8-7be7-4bc3-814f-cdb8dd43e8c1	TCGA-32-2495-01A-01-TS1.2af10114-b26b-4bba-ac70-50b7de004100.svs	c933e867d8d488a552528d6404ee7c42	30273561	validated
4ac106a0-30f2-467d-9a84-1261987bd2e5	TCGA-A8-A09K-01A-01-TS1.8443b0b9-57e1-4bd2-957d-033a523b4caf.svs	2ee97dc50487e10b7b4a36b0bd2c7cf9	338802085	validated
4dd994b3-d72c-4b5e-849c-5dad05376b78	TCGA-HZ-7918.66CC897F-570A-4F7D-B134-71AD8066D40E.PDF	c2f9b75c2b2b2057f50301476e078438	371520	validated
4f0ba747-6a3f-40a4-aeb7-ff9a7d85e4d4	TCGA-A8-A08F-01A-01-BS1.efa980a8-9019-4413-94a1-72f68fe860e9.svs	be107a821ffe30d404d24a78761adb48	224088371	validated
51b5f240-8fa6-4f7b-9e5b-3370d30ca7b8	TCGA-A8-A08S-01Z-00-DX1.C0E044C2-FC3F-4E3D-A779-A725FF375F21.svs	0dc6dbcc2f79c21d91e263af7cc8442b	445892938	validated
