id	filename	md5	size	state
26519a0b-2fb9-4220-b900-7f2a06fe47cd	TCGA-60-2712-11A-01-TS1.338b1505-cac3-4305-a261-bb2ccad4ff1d.svs	33f04550d0e0467cafb19f95b3e0a751	93780743	validated
294b3541-df0e-414b-9ca4-a6a68e84077f	TCGA-BP-4760-11A-01-TS1.8a6b07bd-cfde-4560-88b0-88dd2a0fded7.svs	729ede810be84aa39fde5cbffd1ac4f4	89867887	validated
30ca5238-07e5-4e23-8142-93e83cb3c97a	TCGA-AG-3612.65573346-8277-4269-AA77-97D0F6332F07.PDF	4541d0bd1536b8d463c3293773982324	9959	validated
324e59d5-c9f8-45ec-aa25-d7004f233706	TCGA-G5-6572-01A-01-TS1.067c0091-e9b0-4691-8264-5036b7a9ed1b.svs	5b895bca0e363a43601ddb251f994252	157220293	validated
362e1735-894c-4ecd-aba0-08d447162954	TCGA-G5-6572-01A-01-BS1.a027b669-bea4-41f4-8e03-a26f0c0a61c8.svs	fe43a8de4ff28ea456ab4c79e11e99ec	174948473	validated
3eda8417-5b10-4d1f-b213-e22cd27e50f1	TCGA-AA-3562-01A-02-BS2.545d3c6e-ca91-4f6a-9011-0bdbd41ef0cb.svs	4c595f3cc5b5566aff446a1533fe6e9c	62204199	validated
41cffed9-7e85-4592-86df-bf0d57f69031	TCGA-06-0209.93A70661-A507-4B57-BEE6-B9BF201F31C6.PDF	f081bddcd0c6cb1e27b4ed92b54eac48	50077	validated
42cebbcc-b691-481e-bc2a-b27851ea32d4	TCGA-AG-3612-01A-01-TS1.015a2e1d-cbb4-4ec9-9642-f679cde463ca.svs	a40059988dd9e64da2102ac2db01ffa2	79214329	validated
4456d133-7607-49d9-a263-a19d5b347f01	TCGA-60-2712.DC936761-8BC0-4F4D-BA51-D6C9C0009C3B.PDF	6d7adefde8c7d92e23a960ffb9835b88	190637	validated
48999bf8-348a-4cc5-9564-d46e8484fe5b	TCGA-BP-4760-01Z-00-DX1.0a49c368-739d-42f8-a1cc-5a35ee70a810.svs	3b55d86b2b69269c817212693ba17310	939227180	validated
4c90bf0d-b56a-4afc-a65d-0d1283f97f3f	TCGA-EX-A449.C758E08B-3903-4C72-8F2D-5B064F24BCC1.PDF	ac28695edc1b4426d97cf864592dbb1d	271799	validated
59f19505-85b1-4134-b360-ecb5e72b270c	TCGA-G3-A3CG-01A-01-TSA.F9DF4F84-9097-4D9A-8EEB-5DE3311180BF.svs	a8f21923280d0fee448acc9a96df418f	313882843	validated
5a474894-e9db-4c11-9b68-90787486513d	TCGA-22-1017-01A-01-TS1.9e5d298a-095d-4784-a73f-a92c0be4fe3a.svs	95be5dac630516c165c9c217781fb216	168039733	validated
5a966eb4-241c-4f5c-9cb7-7b5e5698f26a	TCGA-G5-6572-01Z-00-DX1.7a9d5e04-f3dc-4fc7-b188-b90219e0cc50.svs	52bb5856dcef80ba0c79393a90650d0d	715569947	validated
5eed211f-ea68-456d-a569-7dd14fc34da1	TCGA-06-0209-01A-01-BS1.77864284-11b0-4bc7-b772-21e469d37562.svs	70d0cee943f8a8977b93cbfeab33414b	345709609	validated
5f1080ea-b09d-409d-8d65-fc348759f1aa	TCGA-CJ-4642-01B-01-BS1.5a1225ca-0cb1-4be4-852d-701b1b1a4e67.svs	1b868b1747229571f2a39381cc548066	291452337	validated
5f46854c-de5e-490f-bd17-24b2c4c55c58	TCGA-AG-A014-01A-01-BS1.effb47aa-6c72-40ad-8e2d-fd1fc54cf430.svs	25afe4501479d39a05d1a7c6c6b48514	47973140	validated
673505e9-d40b-412f-9c30-32f3749e7879	TCGA-AG-A00H.DF3B5B10-1913-41AE-9B22-FD8E9AA3CBC1.PDF	d13c54164e09cc1887621cf9b6e9c5b9	52777	validated
70e1ba24-47ad-45e3-adda-5c03798056ed	TCGA-BA-4077-01B-01-BS1.6a34e071-95cb-4886-8b46-1a4aedfd7dc9.svs	2359ae1a4b1d1182aff86abfc40295ce	52093019	validated
